"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5563","navigate to form layout","chromium","2026-02-11","passed","2026-02-11","","usePageObject.spec.ts","",""
"","3880","paramitarizated method","chromium","2026-02-11","passed","2026-02-11","","usePageObject.spec.ts","",""
